portfolioID,purpose,name,bank,market,currency,portfolioValue,holdingName,symbol,category,holdingCurrency,quantity,price,averageCost,holdingValue,region,sector,accountNumber,note,colorIndex,accountID,holdingID,holdingsFrom,availability
dbs-sg,,,,,,,Singapore dollar balance,SGD,Cash and FX,SGD,46000,1,1,,Singapore,Cash,,,,,20000000-0000-4000-8000-000000000018,,
dbs-sg,,,,,,,Singapore REIT Fund,SG-REIT,Unit trusts,SGD,12500,1.61,1.72,,Singapore,Real estate,,,,,20000000-0000-4000-8000-000000000019,,
dbs-sg,,,,,,,Life protection policy,SG-LIFE,Insurance,SGD,1,38500,35000,,Singapore,Insurance,,,,,20000000-0000-4000-8000-000000000020,,
hsbc-hk-current,account,HSBC Current Account,HSBC,Hong Kong,HKD,,Hong Kong dollar balance,HKD,Cash and FX,HKD,218500,1,1,,Hong Kong,Cash,004-987654-001,Hong Kong everyday banking and foreign-currency balances,0,10000000-0000-4000-8000-000000000005,20000000-0000-4000-8000-000000000021,,hidden
hsbc-hk-current,,,,,,,US dollar balance,USD,Cash and FX,USD,22600,1,1,,United States,Cash,,,,,20000000-0000-4000-8000-000000000022,,
hsbc-hk-current,,,,,,,Renminbi balance,CNY,Cash and FX,CNY,78000,1,1,,Mainland China,Cash,,,,,20000000-0000-4000-8000-000000000023,,
hsbc-hk-investment,account,HSBC One Investment Services,HSBC,Hong Kong,HKD,,Tencent,00700,Stocks,HKD,600,428.6,380,,Mainland China,Technology,004-987654-068,"Hong Kong equities, global trading and listed options",1,10000000-0000-4000-8000-000000000006,20000000-0000-4000-8000-000000000024,,initial
hsbc-hk-investment,,,,,,,Alibaba,09988,Stocks,HKD,1000,98.5,105,,Mainland China,Consumer discretionary,,,,,20000000-0000-4000-8000-000000000025,,
hsbc-hk-investment,,,,,,,HSBC Holdings,00005,Stocks,HKD,1200,92.4,78.6,,Hong Kong,Financials,,,,,20000000-0000-4000-8000-000000000026,,
hsbc-hk-investment,,,,,,,Meituan,03690,Stocks,HKD,400,137.2,153.4,,Mainland China,Consumer discretionary,,,,,20000000-0000-4000-8000-000000000027,,
hsbc-hk-investment,,,,,,,NVIDIA December call option,NVDA-DEC-C150,Options,USD,100,9.45,8.2,,United States,Technology,,,,,20000000-0000-4000-8000-000000000028,,
hsbc-hk-investment,,,,,,,Hong Kong dollar balance,HKD,Cash and FX,HKD,48000,1,1,,Hong Kong,Cash,,,,,20000000-0000-4000-8000-000000000029,,
hsbc-hk-fundmax,account,HSBC One FundMax Account,HSBC,Hong Kong,HKD,,China Technology Fund,CN-TECH,Unit trusts,HKD,12500,11.28,10.6,,Mainland China,Technology,004-987654-085,Fund portfolio with regional and thematic exposure,2,10000000-0000-4000-8000-000000000007,20000000-0000-4000-8000-000000000030,,linkable
hsbc-hk-fundmax,,,,,,,Global Balanced Fund,GBF,Unit trusts,USD,2200,31.6,28.7,,Global,Multi-sector,,,,,20000000-0000-4000-8000-000000000031,,
hsbc-hk-fundmax,,,,,,,US Bond Fund,US-BOND,Unit trusts,USD,4100,10.45,10.2,,United States,Fixed income,,,,,20000000-0000-4000-8000-000000000032,,
hsbc-hk-fundmax,,,,,,,Asia Dividend Fund,ASIA-DIV,Unit trusts,HKD,8600,8.35,7.8,,Hong Kong,Financials,,,,,20000000-0000-4000-8000-000000000033,,
hsbc-hk-fundmax,,,,,,,Global Infrastructure Fund,GIFRA,Unit trusts,USD,1750,15.8,14.9,,Europe,Utilities,,,,,20000000-0000-4000-8000-000000000034,,
standard-chartered-hk,account,Standard Chartered Account,Standard Chartered,Hong Kong,HKD,,NetEase,09999,Stocks,HKD,300,173.4,162,,Mainland China,Technology,447-123456-8,"International wealth, bonds and structured investments",4,10000000-0000-4000-8000-000000000008,20000000-0000-4000-8000-000000000035,,linkable
standard-chartered-hk,,,,,,,US Treasury Note,UST-2028,Bonds,USD,70000,1.018,0.995,,United States,Government,,,,,20000000-0000-4000-8000-000000000036,,
standard-chartered-hk,,,,,,,Global equity-linked note,GL-ELN,Structured products,USD,50000,1.036,1,,Global,Multi-sector,,,,,20000000-0000-4000-8000-000000000037,,
standard-chartered-hk,,,,,,,Hong Kong savings policy,HK-SAVINGS,Insurance,HKD,1,168000,150000,,Hong Kong,Insurance,,,,,20000000-0000-4000-8000-000000000038,,
standard-chartered-hk,,,,,,,Global Energy Fund,GEF,Unit trusts,USD,1400,18.6,20.5,,Global,Energy,,,,,20000000-0000-4000-8000-000000000039,,
standard-chartered-hk,,,,,,,US dollar balance,USD,Cash and FX,USD,18500,1,1,,United States,Cash,,,,,20000000-0000-4000-8000-000000000040,,
bank-connection,template,{bank} demo portfolio,DBS,Singapore,SGD,,Singapore equity fund,SG-EQUITY,Unit trusts,SGD,2000,2.15,1.95,,,,,Local sample account from the demo bank connection.,2,,20000000-0000-4000-8000-000000000041,,
bank-connection,,,,,,,Singapore Government Bond,SGS,Bonds,SGD,15000,1.03,1,,,,,,,,20000000-0000-4000-8000-000000000042,,
bank-connection,,,,,,,Singapore dollar balance,SGD,Cash and FX,SGD,8500,1,1,,,,,,,,20000000-0000-4000-8000-000000000043,,
linked-account,template,{bank} Investment Account,HSBC,Singapore,SGD,,,,,,,,,,,,,Diversified funds across regions and investment styles,2,,,hsbc-sg-unit-trust,
statement-review,template,Statement portfolio,Statement,Hong Kong,HKD,,,,,,,,,,,,,Imported from {source},0,,,,
statement-import,template,Imported portfolio,Statement,Singapore,SGD,,,,,,,,,,,,,,0,,,,
statement-preview,holdings,Statement upload and scan preview,,,,,INT’L ENT,00100,Stocks,HKD,300,0.6,0.55,,,,,,,,20000000-0000-4000-8000-000000000044,,
statement-preview,,,,,,,BABA-SW,09988,Stocks,HKD,200,100,95,,,,,,,,20000000-0000-4000-8000-000000000045,,
statement-preview,,,,,,,SHIMAO GROUP,00813,Stocks,HKD,100,1.1,1.2,,,,,,,,20000000-0000-4000-8000-000000000046,,
statement-preview,,,,,,,CN HEALTH TECH,01069,Stocks,HKD,300,0.2,0.18,,,,,,,,20000000-0000-4000-8000-000000000047,,
statement-preview,,,,,,,TENCENT,00700,Stocks,HKD,400,420,390,,,,,,,,20000000-0000-4000-8000-000000000048,,
statement-preview,,,,,,,JD-SW,09618,Stocks,HKD,150,130,125,,,,,,,,20000000-0000-4000-8000-000000000049,,
statement-preview,,,,,,,BYD ELECTRONICS,00285,Stocks,HKD,240,35,32,,,,,,,,20000000-0000-4000-8000-000000000050,,
statement-preview,,,,,,,CCB,00939,Stocks,HKD,300,6.5,6,,,,,,,,20000000-0000-4000-8000-000000000051,,
csv-import,holdings,In-app sample statement,,,,,Apple,AAPL,Stocks,USD,50,226.8,205,,,,,,,,20000000-0000-4000-8000-000000000052,,
csv-import,,,,,,,Singapore dollar balance,SGD,Cash and FX,SGD,10000,1,1,,,,,,,,20000000-0000-4000-8000-000000000053,,
csv-file-export,holdings,Downloadable sample statement,,,,,Apple,AAPL,Stocks,USD,50,226.8,205,,,,,,,,20000000-0000-4000-8000-000000000054,,
csv-file-export,,,,,,,Vanguard S&P 500 ETF,VOO,Unit trusts,USD,25,518.2,476,,,,,,,,20000000-0000-4000-8000-000000000055,,
csv-file-export,,,,,,,Singapore Government Bond,SGS,Bonds,SGD,20000,1.058,1,,,,,,,,20000000-0000-4000-8000-000000000056,,
csv-file-export,,,,,,,Singapore dollar balance,SGD,Cash and FX,SGD,10000,1,1,,,,,,,,20000000-0000-4000-8000-000000000057,,
